age,sexe,taux,situationFamiliale,nbEnfantsAcharge,deuxiemeVoiture,immatriculation
49,F,914,En Couple,1,FALSE,2170 DJ 60
18,M,563,En Couple,4,FALSE,8132 RT 49
82,M,417,celibataire,0,FALSE,4764 CE 84
72,M,442,En Couple,4,FALSE,6239 YO 57
41,M,592,celibataire,0,FALSE,9318 FD 10
54,M,438,En Couple,0,FALSE,984 UL 93
30,F,736,En Couple,1,FALSE,3293 JS 50
56,M,1325,En Couple,2,FALSE,9773 UP 95
73,M,532,celibataire,0,FALSE,4390 XZ 41
31,M,206,En Couple,0,FALSE,6684 RV 18
34,M,905,En Couple,0,FALSE,475 ZY 47
54,M,539,En Couple,2,FALSE,5193 OZ 32
70,M,485,En Couple,0,FALSE,9591 PJ 95
82,M,1060,En Couple,4,FALSE,4325 RY 39
39,M,189,En Couple,4,FALSE,2837 GU 95
77,M,497,En Couple,1,FALSE,4327 TI 32
40,M,204,celibataire,0,FALSE,3428 UI 66
62,F,211,En Couple,4,FALSE,9575 JQ 44
35,M,219,celibataire,0,FALSE,7429 HW 21
62,M,483,celibataire,0,FALSE,2749 DP 77
50,F,236,En Couple,4,FALSE,7995 WQ 58
37,F,566,En Couple,2,TRUE,6470 WL 61
38,M,463,En Couple,0,TRUE,2345 VN 82
19,F,534,En Couple,0,FALSE,9679 YE 10
66,M,198,En Couple,4,TRUE,9975 DO 47
70,F,156,En Couple,0,TRUE,9815 LO 22
40,F,720,En Couple,0,TRUE,509 UU 21
26,M,1200,En Couple,0,TRUE,5185 AV 88
40,M,1212,Seule,2,FALSE,198 XG 25
30,F,510,En Couple,2,FALSE,4831 EE 88
27,F,450,En Couple,1,FALSE,6206 VY 42
44,M,1023,En Couple,2,FALSE,5960 NG 71
77,M, ,celibataire,0,FALSE,9044 XD 39
31,M,213,celibataire,0,FALSE,5122 EV 22
60,F,181,Seule,1,FALSE,2520 FN 62
24,F,450,celibataire,0,FALSE,4183 FU 89
43,M,502,En Couple,0,FALSE,3533 LX 83
72,M,1007,En Couple,1,TRUE,1892 XQ 68
38,M,540,En Couple,4,FALSE,280 NM 29
49,F,516,En Couple,2,FALSE,7173 VJ 42
48,M,1371,celibataire,0,FALSE,6174 GC 27
31,M,586,En Couple,3,FALSE,1898 PB 20
54,M,166,celibataire,0,FALSE,8121 YK 57
44,F,545,En Couple,3,FALSE,3205 OU 95
38,F,529,En Couple,0,FALSE,4036 KC 37
65,M,809,En Couple,3,FALSE,2537 CW 77
51,F,443,En Couple,1,FALSE,3642 OB 83
21,F,485,En Couple,3,FALSE,2220 VZ 90
70,F,190,celibataire,0,FALSE,9946 IL 53
18,M,543,Seul,0,FALSE,549 QC 56
81,F,422,En Couple,1,TRUE,4245 DL 53
44,M,978,En Couple,3,FALSE,4974 EB 23
52,F,930,Seule,3,FALSE,6238 YP 25
31,F,161,En Couple,2,FALSE,7394 NA 85
25,F,436,En Couple,2,FALSE,7592 DY 33
56,M,408,En Couple,1,FALSE,4560 BT 51
20,M,907,En Couple,1,FALSE,8155 VK 68
57,F,1296,En Couple,0,FALSE,6773 ZU 80
27,F,516,En Couple,1,FALSE,3152 PE 39
37,M,249,En Couple,0,FALSE,534 YW 94
26,M,548,En Couple,2,FALSE,3887 SM 41
52,M,1158,En Couple,1,FALSE,4707 QX 76
44,F,959,celibataire,0,FALSE,8215 WY 76
18,M,156,En Couple,4,FALSE,8564 CC 81
81,M,593,celibataire,0,FALSE,8406 CC 13
56,F,1065,En Couple,4,FALSE,6768 CZ 74
84,M,489,En Couple,4,FALSE,4540 ZL 90
28,M,1187,Seule,1,FALSE,5776 MR 81
41,M,942,celibataire,0,FALSE,8701 FE 23
23,M,480,celibataire,0,FALSE,8096 PA 60
34,M,451,En Couple,2,FALSE,3499 UU 17
49,F,1069,En Couple,1,FALSE,8286 TJ 46
45,M,155,Seule,2,FALSE,607 CT 93
50,M,428,celibataire,0,FALSE,5705 JN 43
47,M,510,Seule,3,FALSE,5840 TH 33
41,M,474,Seule,3,FALSE,2242 ME 42
34,M,423,celibataire,0,FALSE,5577 IT 75
53,M,578,En Couple,0,FALSE,2030 VN 11
26,F,502,En Couple,1,FALSE,8599 DO 96
31,F,1018,celibataire,0,FALSE,1025 YF 74
52,M,433,celibataire,0,FALSE,2121 LD 37
48,F,206,En Couple,3,FALSE,6595 CG 71
22,M,498,En Couple,2,FALSE,4254 XK 71
28,M,580,En Couple,2,TRUE,3631 DL 13
42,M,781,En Couple,1,FALSE,3145 SX 86
30,M,510,En Couple,1,TRUE,8591 CJ 73
60,M,527,Seule,1,FALSE,4720 HE 92
52,M,859,celibataire,0,FALSE,1425 BU 25
52,M,594,En Couple,1,FALSE,6456 TA 10
80,M,465,En Couple,2,FALSE,5012 SK 57
20,M,492,En Couple,1,FALSE,5226 QK 67
28,M,1313,En Couple,2,TRUE,3755 SG 41
49,F,793,celibataire,0,FALSE,8881 ON 84
35,F,991,En Couple,2,FALSE,7496 UR 54
73,M,551,En Couple,0,FALSE,3433 XC 31
21,M,1030,En Couple,0,FALSE,4146 BU 77
52,F,1328,En Couple,3,FALSE,2977 AX 54
38,M,1081,Seule,1,FALSE,9727 LJ 44
30,M,175,En Couple,0,FALSE,6185 YE 97
56,M,238,En Couple,0,FALSE,3034 PH 25
41,F,409,En Couple,3,FALSE,8741 SF 70
57,M,565,En Couple,4,FALSE,6461 FH 69
47,F,880,En Couple,2,FALSE,5431 KR 44
59,F,1023,En Couple,2,FALSE,583 NC 58
58,M,402,En Couple,3,FALSE,8264 XU 91
31,M,739,En Couple,2,FALSE,5560 CO 52
21,M,487,En Couple,2,FALSE,8591 PQ 12
30,M,1392,En Couple,3,FALSE,5488 DE 65
50,M,189,En Couple,2,FALSE,4887 ZJ 31
65,M,1045,En Couple,0,FALSE,7395 WI 29
32,M,1030,En Couple,3,FALSE,1197 KV 77
21,M,562,En Couple,2,FALSE,6998 FZ 60
71,M,198,En Couple,4,FALSE,6608 NP 20
32,M,460,En Couple,1,FALSE,5794 AO 80
33,F,498,En Couple,3,FALSE,3503 QQ 51
72,M,461,En Couple,1,FALSE,4272 LX 65
58,F,519,celibataire,0,FALSE,3470 XI 85
74,M,517,En Couple,1,TRUE,3196 OF 21
29,F,447,En Couple,1,FALSE,8816 XG 76
38,M,585,Seule,1,FALSE,3858 YE 77
48,M,167,En Couple,4,FALSE,3229 WZ 17
21,M,207,celibataire,0,FALSE,9507 BF 80
29,M,564,En Couple,0,FALSE,1678 YG 71
79,M,451,En Couple,4,FALSE,5824 DO 95
26,M,509,En Couple,2,FALSE,1436 UC 23
31,M,581,En Couple,1,FALSE,9309 BG 11
25,M,400,celibataire,0,FALSE,8164 QN 91
23,F,159,Seul,0,FALSE,3887 UE 80
80,M,449,En Couple,3,FALSE,149 ZW 53
56,M,876,En Couple,0,FALSE,4814 EA 14
44,M,479,En Couple,2,FALSE,7311 JT 36
74,M,1254,En Couple,1,FALSE,9971 EW 32
33,M,192,celibataire,0,FALSE,565 WL 22
25,M,527,En Couple,0,TRUE,9531 CG 60
37,M,1340,En Couple,3,FALSE,2364 TI 24
18,M,223,celibataire,0,FALSE,513 HJ 36
49,F,597,En Couple,4,FALSE,6537 OP 98
43,M,799,En Couple,4,FALSE,5271 ZX 30
29,F,580,celibataire,0,FALSE,8070 LU 37
44,M,918,En Couple,0,FALSE,7581 OI 25
29,M,543,celibataire,0,FALSE,542 YZ 33
33,F,514,celibataire,0,FALSE,2104 SQ 97
