id_Catalogue,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
1,Volvo,S80 T6,272,tres longue,5,5,blanc,FALSE,50500
2,Volvo,S80 T6,272,tres longue,5,5,noir,FALSE,50500
3,Volvo,S80 T6,272,tres longue,5,5,rouge,FALSE,50500
4,Volvo,S80 T6,272,tres longue,5,5,gris,TRUE,35350
5,Volvo,S80 T6,272,tres longue,5,5,bleu,TRUE,35350
6,Volvo,S80 T6,272,tres longue,5,5,gris,FALSE,50500
7,Volvo,S80 T6,272,tres longue,5,5,bleu,FALSE,50500
8,Volvo,S80 T6,272,tres longue,5,5,rouge,TRUE,35350
9,Volvo,S80 T6,272,tres longue,5,5,blanc,TRUE,35350
10,Volvo,S80 T6,272,tres longue,5,5,noir,TRUE,35350
11,Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,FALSE,27340
12,Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,TRUE,19138
13,Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,TRUE,19138
14,Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,FALSE,27340
15,Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,FALSE,27340
16,Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,TRUE,19138
17,Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,TRUE,19138
18,Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,TRUE,19138
19,Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,FALSE,27340
20,Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,FALSE,27340
21,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,TRUE,8540
22,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,FALSE,12200
23,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,FALSE,12200
24,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,TRUE,8540
25,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,TRUE,8540
26,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,FALSE,12200
27,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,TRUE,8540
28,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,FALSE,12200
29,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,FALSE,12200
30,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,TRUE,8540
31,Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,TRUE,18641
32,Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,TRUE,18641
33,Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,TRUE,18641
34,Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,TRUE,18641
35,Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,TRUE,18641
36,Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,FALSE,26630
37,Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,FALSE,26630
38,Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,FALSE,26630
39,Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,FALSE,26630
40,Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,FALSE,26630
41,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,TRUE,16029
42,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,TRUE,16029
43,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,TRUE,16029
44,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,TRUE,16029
45,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,TRUE,16029
46,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,FALSE,22900
47,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,FALSE,22900
48,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,FALSE,22900
49,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,FALSE,22900
50,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,FALSE,22900
51,Skoda,Superb 2.8 V6,193,tres longue,5,5,rouge,FALSE,31790
52,Skoda,Superb 2.8 V6,193,tres longue,5,5,gris,FALSE,31790
53,Skoda,Superb 2.8 V6,193,tres longue,5,5,bleu,FALSE,31790
54,Skoda,Superb 2.8 V6,193,tres longue,5,5,noir,FALSE,31790
55,Skoda,Superb 2.8 V6,193,tres longue,5,5,blanc,FALSE,31790
56,Seat,Toledo 1.6,102,longue,5,5,blanc,FALSE,18880
57,Seat,Toledo 1.6,102,longue,5,5,noir,FALSE,18880
58,Seat,Toledo 1.6,102,longue,5,5,rouge,FALSE,18880
59,Seat,Toledo 1.6,102,longue,5,5,gris,FALSE,18880
60,Seat,Toledo 1.6,102,longue,5,5,bleu,FALSE,18880
61,Saab,9.3 1.8T,150,longue,5,5,blanc,TRUE,27020
62,Saab,9.3 1.8T,150,longue,5,5,rouge,TRUE,27020
63,Saab,9.3 1.8T,150,longue,5,5,gris,TRUE,27020
64,Saab,9.3 1.8T,150,longue,5,5,bleu,TRUE,27020
65,Saab,9.3 1.8T,150,longue,5,5,noir,TRUE,27020
66,Saab,9.3 1.8T,150,longue,5,5,gris,FALSE,38600
67,Saab,9.3 1.8T,150,longue,5,5,bleu,FALSE,38600
68,Saab,9.3 1.8T,150,longue,5,5,noir,FALSE,38600
69,Saab,9.3 1.8T,150,longue,5,5,rouge,FALSE,38600
70,Saab,9.3 1.8T,150,longue,5,5,blanc,FALSE,38600
71,Renault,Vel Satis 3.5 V6,245,tres longue,5,5,gris,TRUE,34440
72,Renault,Vel Satis 3.5 V6,245,tres longue,5,5,noir,TRUE,34440
73,Renault,Vel Satis 3.5 V6,245,tres longue,5,5,bleu,TRUE,34440
74,Renault,Vel Satis 3.5 V6,245,tres longue,5,5,rouge,TRUE,34440
75,Renault,Vel Satis 3.5 V6,245,tres longue,5,5,blanc,TRUE,34440
76,Renault,Vel Satis 3.5 V6,245,tres longue,5,5,gris,FALSE,49200
77,Renault,Vel Satis 3.5 V6,245,tres longue,5,5,bleu,FALSE,49200
78,Renault,Vel Satis 3.5 V6,245,tres longue,5,5,blanc,FALSE,49200
79,Renault,Vel Satis 3.5 V6,245,tres longue,5,5,noir,FALSE,49200
80,Renault,Vel Satis 3.5 V6,245,tres longue,5,5,rouge,FALSE,49200
81,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,TRUE,15644
82,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,TRUE,15644
83,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,TRUE,15644
84,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,TRUE,15644
85,Renault,Megane 2.0 16V,135,moyenne,5,5,noir,TRUE,15644
86,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,FALSE,22350
87,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,FALSE,22350
88,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,FALSE,22350
89,Renault,Megane 2.0 16V,135,moyenne,5,5,noir,FALSE,22350
